iter	Accuracy	Logloss
0	0.7806475531	0.6632844043
1	0.7907810183	0.6422536615
2	0.7875679684	0.6184089956
3	0.7931290163	0.5943818073
4	0.7958477509	0.5755623373
5	0.7934997528	0.5581432322
6	0.7939940682	0.5436714417
7	0.793376174	0.5338164111
8	0.7938704894	0.523375059
9	0.7936233317	0.5129421046
10	0.7937469105	0.5040414671
11	0.7934997528	0.4971983077
12	0.7932525952	0.4903007756
13	0.7931290163	0.4854329035
14	0.7930054375	0.4825341519
15	0.7938704894	0.4771077744
16	0.794982699	0.4713257544
17	0.7952298566	0.4670905834
18	0.7951062778	0.4632418938
19	0.7954770143	0.4598227906
20	0.795724172	0.4564311792
21	0.7962184874	0.453469515
22	0.7964656451	0.4511160248
23	0.7964656451	0.4488000885
24	0.7960949086	0.4466998738
25	0.7958477509	0.4455720677
26	0.7959713297	0.4439641412
27	0.7964656451	0.4419971987
28	0.7967128028	0.4403359322
29	0.7967128028	0.4394522806
30	0.7964656451	0.4374745119
31	0.7964656451	0.4363809161
32	0.7965892239	0.4357139437
33	0.7965892239	0.4352033794
34	0.7965892239	0.4342513246
35	0.7967128028	0.4335604486
36	0.7968363816	0.4326587334
37	0.7969599605	0.4318865922
38	0.7968363816	0.4310532481
39	0.7972071181	0.4302939159
40	0.797330697	0.429576726
41	0.797330697	0.429210253
42	0.7974542758	0.4281540761
43	0.7972071181	0.4270328399
44	0.7969599605	0.4264244012
45	0.7978250124	0.4257540999
46	0.79807217	0.4250697073
47	0.7975778547	0.4242731086
48	0.7981957489	0.4235618306
49	0.7977014335	0.423140894
50	0.7977014335	0.4226582097
51	0.7978250124	0.4222755795
52	0.7979485912	0.4219103545
53	0.7981957489	0.4209958929
54	0.7979485912	0.4206388311
55	0.7979485912	0.4205671997
56	0.7979485912	0.4202406084
57	0.7985664854	0.4198458853
58	0.7988136431	0.419638039
59	0.7990608008	0.4194022943
60	0.7994315373	0.4190209726
61	0.8005437469	0.41883161
62	0.8010380623	0.4184660464
63	0.8007909046	0.4180516432
64	0.8010380623	0.4179340032
65	0.8011616411	0.4178113892
66	0.8011616411	0.4176746768
67	0.8007909046	0.4171857144
68	0.8007909046	0.4171474526
69	0.8009144834	0.4170461358
70	0.8009144834	0.416700119
71	0.80128522	0.4166190045
72	0.8030153238	0.4161579474
73	0.8027681661	0.4156800235
74	0.8038803757	0.4152353274
