iter	Passed	Remaining
0	100	49995
1	156	38908
2	222	36792
3	309	38330
4	377	37380
5	442	36399
6	495	34868
7	556	34229
8	616	33658
9	677	33179
10	739	32860
11	805	32753
12	865	32405
13	926	32177
14	956	30936
15	1025	31007
16	1095	31121
17	1169	31309
18	1248	31616
19	1313	31515
20	1374	31359
21	1434	31178
22	1501	31137
23	1564	31035
24	1625	30882
25	1672	30491
26	1737	30430
27	1802	30382
28	1865	30296
29	1907	29879
30	1967	29764
31	2028	29668
32	2078	29417
33	2118	29030
34	2176	28913
35	2248	28982
36	2312	28932
37	2369	28805
38	2430	28733
39	2499	28741
40	2576	28846
41	2657	28981
42	2733	29046
43	2795	28975
44	2858	28902
45	2923	28856
46	2986	28788
47	3046	28688
48	3108	28606
49	3172	28552
50	3235	28487
51	3292	28364
52	3351	28265
53	3411	28174
54	3473	28105
55	3496	27725
56	3561	27682
57	3621	27601
58	3677	27486
59	3725	27319
60	3786	27248
61	3843	27155
62	3902	27070
63	3959	26973
64	4022	26916
65	4074	26794
66	4135	26725
67	4203	26704
68	4225	26396
69	4280	26296
70	4336	26202
71	4393	26119
72	4453	26050
73	4513	25983
74	4569	25893
75	4627	25814
76	4683	25730
77	4747	25684
78	4796	25559
79	4816	25287
80	4877	25231
81	4931	25137
82	4990	25074
83	5038	24950
84	5099	24897
85	5158	24830
86	5216	24763
87	5279	24717
88	5340	24662
89	5395	24579
90	5420	24364
91	5462	24226
92	5483	23997
93	5538	23922
94	5594	23848
95	5651	23781
96	5712	23732
97	5769	23665
98	5829	23611
99	5885	23540
100	5940	23467
101	5999	23411
102	6058	23353
103	6089	23187
104	6144	23116
105	6204	23062
106	6262	23003
107	6321	22946
108	6379	22883
109	6438	22826
110	6487	22734
111	6543	22668
112	6602	22611
113	6632	22458
114	6694	22412
115	6733	22289
116	6793	22239
117	6849	22174
118	6911	22127
119	6970	22072
120	7027	22010
121	7084	21951
122	7142	21892
123	7201	21835
124	7259	21779
125	7272	21587
126	7330	21528
127	7394	21490
128	7488	21537
129	7571	21550
130	7626	21481
131	7682	21418
132	7741	21361
133	7793	21287
134	7849	21221
135	7906	21162
136	7962	21098
137	8017	21032
138	8046	20896
139	8103	20838
140	8123	20684
141	8235	20761
142	8305	20734
143	8363	20676
144	8424	20624
145	8477	20555
146	8537	20500
147	8569	20380
148	8603	20267
149	8663	20215
150	8719	20152
151	8777	20096
152	8835	20038
153	8895	19986
154	8927	19870
155	8986	19815
156	9038	19746
157	9098	19693
158	9154	19632
159	9211	19574
160	9270	19520
161	9330	19466
162	9386	19406
163	9446	19354
164	9505	19299
165	9567	19249
166	9598	19139
167	9670	19111
168	9730	19057
169	9787	19000
170	9847	18946
171	9912	18902
172	9973	18852
173	10042	18815
174	10109	18773
175	10171	18725
176	10203	18619
177	10258	18557
178	10316	18500
179	10377	18449
180	10442	18404
181	10502	18350
182	10567	18305
183	10604	18211
184	10688	18199
185	10760	18165
186	10817	18106
187	10881	18058
188	10941	18003
189	10998	17944
190	11020	17828
191	11074	17765
192	11138	17718
193	11211	17683
194	11292	17662
195	11369	17633
196	11450	17611
197	11502	17543
198	11561	17486
199	11582	17374
200	11640	17316
201	11698	17258
202	11760	17206
203	11815	17143
204	11873	17085
205	11932	17029
206	11994	16977
207	12050	16917
208	12111	16863
209	12146	16773
210	12206	16719
211	12263	16659
212	12285	16553
213	12347	16501
214	12408	16448
215	12470	16396
216	12534	16346
217	12612	16314
218	12691	16285
219	12764	16245
220	12825	16191
221	12888	16139
222	12954	16091
223	13016	16038
224	13071	15976
225	13139	15930
226	13214	15892
227	13288	15852
228	13353	15802
229	13416	15749
230	13484	15702
231	13545	15647
232	13599	15584
233	13662	15530
234	13691	15439
235	13753	15385
236	13812	15328
237	13871	15270
238	13934	15217
239	14011	15179
240	14082	15134
241	14149	15084
242	14213	15032
243	14277	14979
244	14333	14918
245	14396	14864
246	14458	14809
247	14518	14752
248	14579	14697
249	14641	14641
250	14704	14587
251	14765	14530
252	14832	14481
253	14905	14436
254	14976	14389
255	15046	14341
256	15122	14298
257	15191	14249
258	15257	14197
259	15322	14143
260	15395	14097
261	15462	14046
262	15541	14005
263	15607	13952
264	15674	13899
265	15740	13847
266	15808	13795
267	15890	13755
268	15965	13710
269	16036	13660
270	16101	13606
271	16164	13549
272	16219	13486
273	16279	13427
274	16339	13368
275	16410	13318
276	16482	13269
277	16552	13218
278	16616	13162
279	16677	13103
280	16744	13049
281	16809	12994
282	16873	12938
283	16987	12920
284	17057	12867
285	17113	12804
286	17171	12744
287	17230	12683
288	17298	12629
289	17370	12578
290	17433	12521
291	17497	12464
292	17562	12407
293	17623	12348
294	17720	12314
295	17888	12328
296	17966	12280
297	18040	12228
298	18104	12170
299	18169	12112
300	18236	12056
301	18304	12001
302	18380	11950
303	18452	11897
304	18514	11837
305	18590	11786
306	18659	11730
307	18718	11668
308	18781	11609
309	18842	11548
310	18931	11504
311	19030	11467
312	19179	11458
313	19253	11405
314	19323	11348
315	19392	11292
316	19471	11240
317	19533	11179
318	19594	11118
319	19652	11054
320	19716	10994
321	19774	10931
322	19843	10873
323	19905	10812
324	19965	10750
325	20023	10687
326	20088	10627
327	20147	10564
328	20210	10504
329	20270	10442
330	20337	10383
331	20402	10324
332	20468	10265
333	20526	10201
334	20589	10141
335	20651	10080
336	20771	10046
337	20842	9989
338	20904	9928
339	20963	9865
340	21026	9804
341	21095	9745
342	21157	9684
343	21216	9621
344	21287	9563
345	21350	9502
346	21415	9442
347	21485	9384
348	21551	9324
349	21614	9263
350	21681	9203
351	21744	9142
352	21810	9082
353	21872	9020
354	21934	8959
355	22000	8898
356	22064	8838
357	22130	8777
358	22197	8718
359	22257	8655
360	22329	8597
361	22394	8537
362	22472	8481
363	22533	8419
364	22595	8357
365	22661	8296
366	22723	8235
367	22788	8174
368	22844	8110
369	22904	8047
370	22959	7983
371	23019	7920
372	23078	7857
373	23141	7796
374	23206	7735
375	23283	7678
376	23358	7620
377	23436	7564
378	23502	7503
379	23568	7442
380	23631	7380
381	23691	7318
382	23751	7255
383	23809	7192
384	23872	7130
385	23933	7068
386	23994	7006
387	24057	6944
388	24115	6881
389	24178	6819
390	24237	6756
391	24299	6694
392	24363	6633
393	24420	6569
394	24482	6508
395	24541	6445
396	24597	6381
397	24657	6319
398	24715	6256
399	24779	6194
400	24841	6133
401	24904	6071
402	24960	6007
403	25016	5944
404	25077	5882
405	25138	5820
406	25193	5756
407	25247	5692
408	25304	5630
409	25369	5568
410	25455	5512
411	25516	5450
412	25593	5391
413	25656	5329
414	25720	5268
415	25783	5206
416	25849	5145
417	25915	5083
418	25980	5022
419	26042	4960
420	26106	4898
421	26166	4836
422	26227	4774
423	26286	4711
424	26348	4649
425	26402	4586
426	26464	4524
427	26524	4462
428	26594	4401
429	26662	4340
430	26727	4278
431	26793	4217
432	26861	4156
433	26918	4093
434	26975	4030
435	27028	3967
436	27084	3904
437	27141	3841
438	27199	3779
439	27258	3717
440	27318	3654
441	27376	3592
442	27444	3531
443	27504	3469
444	27561	3406
445	27617	3343
446	27676	3281
447	27736	3219
448	27796	3157
449	27854	3094
450	27913	3032
451	27970	2970
452	28024	2907
453	28085	2845
454	28142	2783
455	28205	2721
456	28261	2659
457	28318	2596
458	28375	2534
459	28432	2472
460	28488	2410
461	28547	2348
462	28602	2285
463	28657	2223
464	28717	2161
465	28775	2099
466	28837	2037
467	28890	1975
468	28944	1913
469	29002	1851
470	29058	1789
471	29115	1727
472	29171	1665
473	29229	1603
474	29288	1541
475	29346	1479
476	29413	1418
477	29471	1356
478	29530	1294
479	29588	1232
480	29653	1171
481	29707	1109
482	29765	1047
483	29825	985
484	29884	924
485	29940	862
486	29996	800
487	30051	738
488	30109	677
489	30165	615
490	30225	554
491	30285	492
492	30342	430
493	30397	369
494	30456	307
495	30513	246
496	30569	184
497	30626	122
498	30683	61
499	30741	0
